LJ0001|La bãsa fãa eb yẽgra ya boẽ, ya sikra sẽn na n yik ninsaal yĩngẽwa, n yɩɩd yĩnga sẽn n datã. Tõe ye yaasa be me n wilg bilfu, tɩ ninsaal waa rɩ.
LJ7783|La, mali yembda puka koom wã na n wilg tɩ b pa sak, nao rog wã be lik wã n tar bãmb n yind koom wã ye.
LJ7784|delete
LJ7785|delete
LJ7786|La gomda wa n tog n namsda fãrãs naaba, t'a yi naa n gome n leok tɩ leokrame pa waood leok be.
LJ7787|delete
LJ7788|sãn ya pĩnda woto buudda ka tõe n maane ye. gouvernement ka be n na n convoquer farens ambassadeur sõoge nugẽ ye. ahhh ra ya tog yẽn kõe.
LJ7789|delete
LJ7790|Tɩ rũnda rũnda kõn bɩɩsa nekame. La nekrã sɩnga ne mali. Mali y nekame.
LJ7791|delete
LJ7792|delete
LJ7793|Na n tekame wã raatẽ yeelame tɩ boin. Wĩndg tɩ bãmb n da gom ne...
LJ7794|delete
LJ7795|B sɛgdame n bãng tɩ bãmb n na n tɩ zĩnd-n-ned ninga.
LJ7796|delete
LJ7797|delete
LJ7798|delete
LJ7799|Eh, tõnd n yõn koglgã, wʋk n teed n looge. La y bas tõnd sɩ? Ha dat n sõama tõnd hakɩk sõngre, kõe tõnd n yõ koglgã tɩ yelle
LJ7800|delete
LJ7801|delete
LJ7802|delete
LJ7803|delete
LJ7804|delete
LJ7805|delete
LJ7806|delete
LJ7807|delete
LJ7808|delete
LJ7809|delete
LJ7810|La yaa bõe tɩ d sã n ges mikdame tɩ mali yellã pʋga.
LJ7814|delete
LJ7815|delete
LJ7816|delete
LJ7817|delete
LJ7818|delete
LJ7819|delete
LJ7820|delete
LJ7821|delete
LJ7822|delete
LJ7823|delete
LJ7824|Rẽ sog tɩ tõnd segd yɩk naag taaba, tɩ zabr a yi zab-yɛnga. Yɩɩ, ned a yembr tãa. A tɩ Burkinabè ramba fãa lebg ned a yembr tãa.
LJ7825|delete
LJ7826|delete
LJ7827|delete
LJ7828|Mercenairan são, gouvernement ninga, n pa nafd a tõnda.
LJ7829|delete
LJ7830|pa neba, pa ninsaalba tekrã la yelle. Baa d mi n gomd naama yeel tɩ d goamdã.
LJ7831|delete
LJ7832|delete
LJ7833|Tɩ be neb tus ka tɛkã. Kom-sɩlg pagã, Amsetou Nikiema. A lebge yi Cote d'Ivoire waa wa, yãka yam n na n maan doaag n kõ tẽngã, a maan doaag n kõ nin-buiidã, n tar b zuloese la n tar b...
LJ7834|delete
LJ7835|delete
LJ7836|yuuga, tɩ bonde ta Kazadi show wã, tʋʋmd na n toog n tʋme. Dẽnd ketame tɩ neb la nins sẽn maand-b sõasgã, ra tɩ yell ti Solange Sawadogo.
LJ7837|delete
LJ7838|delete
LJ7842|Dũni waa n kiis taaba tɩ maneg ka zabd tʋʋmd ye. Rẽ n kɩt tɩ wa pase naab a ligdi, sak n kɩt tʋʋmdã, n deeb ba-yõakdgã, n yaa tʋʋmdã taoor soaba. D bõngr Wẽnnaam tɩ Wẽnnaam wã nee laafɩ, Wẽnna Zĩnig ye laafɩ, Wẽnna Kʋɩls ye laafɩ tɩ yaa Zũusẽk n tʋʋmd ye. Yaa dũni waa gilli n na n gese. Inchallah, Wẽnna manege, Wẽnna pidsi.
LJ7843|delete
LJ7844|Tʋʋma wɛɛnge, den Savane Media paama nin kanga soab hẽ yaa, ba yõkdg tʋʋmda pʋgẽ na n teel tʋʋmda tɩ toog kẽng taoorã.
LJ7845|delete
LJ7846|Président du Faso, président du Conseil des ministres n leb yaa sodaasã taoor soaba.
LJ7847|delete
LJ7848|Sãn ya ne sodaasã taoore, Colonel Major Gilbert Ouédraogo n lebg sẽn sɩng zaamẽ tɛka, Chef d'Etat Major Général des Armées.
LJ7849|den, n sɩng ne rẽme, zaamẽ tekame, b zẽka bãmb n ning tɩ b lebga général de brigade.
LJ7850|La sãn ya ne gendarmerie wã zĩigẽ, b yãka Colonel Major Oumari Omer Bambara.
LJ7851|La sãn ya ne sɩlsã, yĩngr sodaasã boond tɩ l'armée de l'air, yẽn ya Colonel Souleymane Ouédraogo, n lʋɩ taoore ye.
LJ7852|delete
LJ7853|La bʋʋr kãngã pʋgẽ, yaa tɩ bãng. Nedẽ pa na n zĩnd beene, yaa wa Blaise Compaoré bãmb pa na zĩnd beene.
LJ7854|Burkĩ na fas-a na kʋdgẽ, sẽn tũud-y ne b sõngdbãsem wã avokã rãmbã.
LJ7856|haan ya ne L'Observateur Paalga dãmb sẽn kõ tõnd vẽnem wilgame.
LJ7858|delete
LJ7862|Tɩ d sẽn gomd sãa ned tõog ning sẽn kogende, Président Blaise Compaor-a.
LJ7863|A yaa bũmb nimbuiidã fãa sẽn maan kaseto, b sẽn dik assemblée nationale wã, juin kiug rasem piig la a yembre, deux mille douze yũumdã.
LJ7864|Président Roch Marc Christian Kaboré, n yaa tẽnga naab rũnda rũnda wã, bãmb meng n tik b nugu wakat ning b sẽn wa ya député ramba taoor soaba.
LJ7865|Wakat ning b sẽn nao baoodẽ moasã, tɩ nin-kãngã soab leb n kolg sarɩ buudb taoore.
LJ7866|D wa n taame n na man kaseto, tõnd raadengã yĩnga. Ren yɩ mai kiug rasma naase, deux mille dix sept yũumdã.
LJ7867|Tɩ y yaoome yɩ sabab zĩig pʋgẽ, tɩ b kelend vizg bʋʋdã teem daare, halẽ tãa woto ne.
LJ7869|Rɩka noorẽ rẽ logd poore, avril kiug rasem pisi la nĩ, deux mille seize yũumdã.
LJ7870|sari ninga n yaa président Roch Mars Christian Kaboré sẽn wẽbg a soaba.
LJ7872|Eh ra sɩbga Burkĩna Faso l'etat wa mars kiug rasem pisi la a nin deux mille quatorze yũumdã, sẽn kẽed ne a Norbert Zongo yella wɛɛngẽ.
LJ7875|Cours Européenne sẽn be Strasburg fãrans soolem, bãmb me rɩka noor ne yãgbo.
LJ7876|A ya ne Aout kiug rasma yob deux mille vingt un sẽn loogã. Tɩ bãmb pa sake, ne Francois Compaoré b taalb n wa Burkĩna Faso, bʋʋr kãngã yĩng ye.
LJ7877|Rẽnd yãoa yaa n wilg tɩ yaa tɩlae tɩ b tõog n kogle, ad n biig yalo wa.
LJ7879|Dẽn-b tika wotoonẽ n yɩɩda. Yaa batonier a Pierre Olivier Sure la a Maitre Abdoul Ouédraogo, yaa Blaise Compaoré sõngdba bãmb sẽn maane, koeg la wotoonẽ.
LJ7880|delete
LJ7881|delete
LJ7882|Dõnc yaa lekoll kãnga, la sẽn na n paké. Yaa rabõore?
LJ7883|delete
LJ7884|delete
LJ7885|delete
LJ7886|delete
LJ7887|Yaa Capitaine Blaise Compaoré, n yi.
LJ7888|Nan zẽk koɛɛga, n gom ne Burkina Faso nin buiida. La b togse!
LJ7889|Bada, a gomame n togs vẽeneg bũmb ningẽ kɩte ti quinze octobr-a yella wã maana.
LJ7890|La haya, tao tid kẽ gomda pʋgẽ, mam datame, dẽng n kõ m tagsg bilfu.
LJ7891|La ned sã n koasa yõor ned yĩnga, yʋmã naas por ti ya nin kãnsoaba na le lebg n yi, zĩ kãng soab bɛɛ? bũmbu be sʋka.
LJ7892|Dɩnd mam n kota maam yet tɩ m na kom tagsgã. Yaa hãa n be b rũnda wã maan sugr la b maan gũusgu, fo sãan be naam taoore, bɩ f bãng tɩ fo lebga tãmpʋʋre. Sagda buud tõe tõe na n watẽ. La pa sagda fãa la f segd ning bugma zʋgẽ.
LJ7893|Ãnda mik-a lame tɩ ninsa a nugã woto ra pa kẽ neb a yiiba sʋka, tʋmdã la ningẽ tʋmã da pa na n tʋʋm ye. Sẽn na n baasd tid n yaool n kẽ sebrã kareng pʋga.
LJ7894|delete
LJ7895|delete
LJ7896|La b yeelame tɩɩ yɛl a tãabo, sãn segd ne buudã la wotõone: La ade Bobo Dioulasso nin-buiidã yãabã pa wend taab ye. Bʋʋda wɛɛngẽ. Sebr nengẽ tãabo a naase a nu waa zĩigẽ, a B lebg n waasẽ ne yel-kãngã zugu. Gõma ne tõnda dossier Thomas Sankara b yelemẽ ta Blaise Compaoré, n yaa kõang kõang d meng a kɩɩka yel-kãngã pʋga.
LJ7897|delete
LJ7898|Sãn ya ne a Mariam Sankara yẽ yelame bala tõnda gũuda buudã hal wakat sẽn wʋgle, sebrã nengã naas zĩigẽ kibaye kãngã n be beenẽ.
LJ7899|Revelations wa koesa talla tõnd n kẽng ne tɩgseg ninga sẽn maana Afrik ne Fãrãse, Montpelier wã, b yeelame t\'a Odile Sankara sẽn yaa Thomas Sankara yao wã.
LJ7900|delete
LJ7901|Alphonse fonce. haan ya nen yel bũndã sẽn yel-bũmb ninga rũnda yibeoog la wotoonẽ: Yelame tɩ vʋɩɩma ya wala coursi.
LJ7902|delete
LJ7903|Tɩ yaa fo sẽn n da bas ned ninga poorẽ wa, n wa lʋɩ taoore, n be be ne.
LJ7905|Tɩ bũmb ninga sẽn ya yel-wẽng n wa tɩ yɩɩd bũmba fãa ninsaal vʋɩɩmã wa yaa zɩɩlma.
LJ7907|delete
LJ7908|A haan wa taa bala [fo n] zɩɩlma pʋga t\'a be la foogo. A loogã ne fo d riiba.
LJ7910|Tɩ wakat fãa gil kɛpi ned fãa sõma me modge, n yiis a meng zɩɩlmã pʋga. Bão n bãng yɛlã fãa gil kɛpi. Bão yɩ yam soaba, bão yɩ bãngda. Tɩ fõ sãan n tõog n yɩ yam soaba, n yɩ bãngda, n mi, fo mikdame tɩ ned...
LJ7911|delete
LJ7913|[...] Savane media kelgdba la a getẽba fãa gil kɛpi rũnda yibeoogã.
LJ7914|delete
LJ7915|Kaset rãmb zĩnda beene, wala tʋmd taasa sẽn yaa journal sa rãmba.
LJ7919|delete
LJ7920|Tɩ, avocats rãmb kẽere, m pa paam dossiers ramba tao tao n tõog n sogl ye.
LJ7923|delete
LJ7924|Tɩ, b yet tɩ que audios ramba n enregistre tɩ tõe n kelga ne yɛla taab be be.
LJ7925|Tɩ y avocat wa sõmbã vɛɛs fãa gil kɛpi la kels fãa. La la b avocat me tʋʋm pa rẽnda bal we. M datame tɩ b kõ b wa kat b sogl b mensa sõama.
LJ7926|La sã n yaa neb n yet tɩ rengs goama, buudã n yaa to-too lã b film a.
LJ7927|Bũmb ninga sẽn tõe baa gʋlsga menga pa gʋlsg ye. Gʋlsg tõodã n wĩnigi, yaa greffe a yembr tãa sẽn zoe n gulsd wã bala.
LJ7928|delete
LJ7930|A buudã, a tʋʋmda yaa a kao buudo, la a maan buudã tɩ a buudã yɩ tɩrga ti yaa rẽn la tribunal a tʋʋmde.
LJ7931|La kae mam pa raatẽ n tõngẽ neb nins sẽn dat tub tab tõda na neem mam n pa sak rẽ ye.
LJ7932|Tɩ yãmb yaool wa watẽ, tɩ n dat n yeel mansã tɩ bas tõodã n gom to-to wã, tɩ yenda yaa dossier toore, a ye pa tõe yɩ toor wẽ.
LJ7933|Biid waoog tõnd sãrɩ wa ya, Tɩ tõnd sãrɩ wã n gãneg bũmb ninga yaa rẽnda bala tõnd sõmb waooge, la d maane tɩ yaa rẽ bala n tõe n kɩte tɩ sãrɩ wã tʋʋmdã kẽng taoore.
LJ7935|delete
LJ7936|delete
LJ7937|delete
LJ7939|D na n kẽnga taoore ne a Zã Iber Bazié koeesã t'a wilga bẽmb a ti n sõama wã tɩ maanega rũndã yaa ra-kãsenga.
LJ7944|den yaa woto n la a Jean Iber Bazié, kẽng taoore n na n tɩg n togse. La wilgame bala...
LJ7945|delete
LJ7947|delete
LJ7948|D bee ka yel yɛngã yĩnga.Yaa nan yɩl n tõog n bãng, yaa ãnda soab n maan woto.
LJ7949|Mam yẽn kotame tɩ yɛla fãa yɩ vẽenega, la yɩ poe wala nulokr kiugu neba fãa gill kɛpi taoore.
LJ7950|Dẽnd paama Alexãndre Sankara, bãmb yaa ancien député kʋdgo, bãmb yeelame tɩ sẽn ya ne sɩda.
LJ7952|[ehhh...] Baa tɩ, yi zu-loeesa buud toor-toor yi wʋsgo, tu b na toog yãk sãe ne juge accesseurs dãmba.
LJ7954|La, mam yẽn tõe yeelame, tɩ tiusg a woto ne sãn ya ne a Thomas Sankara buudã ne, neb piig la a yib ninga, sẽn lagemã bãmb n maan kaalemã.
LJ7955|La sɩd yaa ne yĩn-sɩdg menga, [eh] la tõnd deegd sẽn yaa ne wala bʋʋd kãnga wotoonẽ wã.
LJ7956|Yaa yʋʋm pistã la a naase wotoonẽ. Bʋʋdã sẽn gũudi raran n kãnga wotoonẽ.
LJ7957|delete
LJ7960|D leb wa taa n zĩndame tɩ sã rɩ buudba [zĩningb] b tʋʋmdã, d miimẽ tɩ fãa gill kɛpi wẽnnaam sakre poore, a na n wa tɩ baasame ne neema wo neema.
LJ7959|delete
LJ7960|delete
LJ7961|Nin yet tɩ b sõng-ba. Nin, sebrã ne goamdã zugu, n na n mikame tɩ yaa kibay kãngã be beenẽ.
LJ7962|Talla tõnd n kẽng ne a Thomas Sankara sẽn maan kaalmã, b yeelame tɩ ade bũmb ninga tõnd sẽn sõmbã gill lã wotoonẽ.
LJ7963|goma ne tõnd sã yaa nẽ galo-tẽng wã tãnspoor urbain wã yelle, galo-tẽng wã tãnspoorã neba regsgã.
LJ7964|B yeelame tɩ tri-cycles dãmba, montɛɛna wa tãabã, yaa yãoonde, n tolg yaa zuloega meng a kɩɩka n kʋʋd Bobo Dioulasso nim-buiidã.
LJ7965|B goma nen tõnd zabr ninga sẽn maana sodasa ne nim-zaalsã sʋka pʋgã.
LJ7966|[Sebra puuga] B yelame tɩ ade yaa keg-b yɛsa n wa ne zabra.
LJ7967|Dẽnda dossier Thomas Sankara zĩigẽ b yelemẽ tɩ sã ya sɛda, a Blaise Compaoré n ketẽ ya tʋʋm da gãnda sãengã. Sɩbrã nengã tãab zĩigẽ kibay kãngã be bɩ ye.
LJ7968|B wa n tɩ baasame n tall tõnd n kẽng ne Bobo Dioulasso sãr-y-bʋʋr bã zakẽ n tɩ wilg tɩ apprenti chauffeur a, a ne police rãmb nins sẽn maand b vɛɛsgã. Sebrã nengã tãb zẽngẽ kibay kãngã n be beenẽ. A dɩ ya L'Express du Faso wa ne womda zug koesã la wotoonẽ.
LJ7969|L'Observateur Paalga sebre ne wãmbdã zug b tall tõnd n kẽng président a Thomas Sankara bʋʋda yel-zĩigẽ n rẽta b ningame, b kambã foto n baas n soke...
LJ7970|Bʋʋda. Bʋʋda, sokame na n gese, a na n wilga tõnd wil-a wãna neens-a wãna sebrã nengã nuga zĩigẽ, sok ra wao toone. A Bukary Kabore ti b bonde tɩ bõn-yẽegã sebrã neng a yiiba zĩigẽ bãmb wilgame tɩ "mam tara yella sɩda".
LJ7971|delete
LJ7972|Yelame tɩ FESPACO wa noor pɩssi la yopoe soaba, kɩtame tɩ Shangai municipalité wã, bao cinema tedo na n kõ FESPACO wa sebrã nengã tãb zĩigẽ kibay kãngã n be beẽ ne.
LJ7973|Yelame tɩ mao ne tãsob n sood sãa, b yeelame, a pipi tʋʋmde, ministre ning a sãa n pʋgda ministre ning a sẽn gueta sõdasa yelle, sõn sõmba tʋm la woto nẽ.
LJ7975|Nem yet tɩ yam kongam wa. Yam kongam wa pa rat yet tɩ yam pat, bũmb yam n gãd ye. Yabg n da tɩ yet tɩ yam tõe n ta a zĩningã la yam pat-a.
LJ7978|Y hãntal yam-kãngã, yam-mikdame tɩ y yam zaamẽ n kongrã, a lebga arzɛk koɛɛng rʋndã n sõngd yam tɩ yam tõe n kẽng taoore.
LJ7980|Mam mam tudga a ye. Mam yõsga a ye. Bõe n paoog maam?
LJ7981|La bõe la mam da tara? Bõe la mam tiki yã? A sã maag yĩng n bal woto, a bãngd a yẽ da tar pãng ningã, la a bãngã pãng koosma zĩiga, sẽn wat poor wã, lebg a yɩk n gãndg. Bade, fo zoe n gãndg yɛlã wɩsgã fãa gill.
LJ7982|Kõgre, a pʋgẽ wã nafa m be be tɩ tõe n gãd nafa kãngã n dɩk n puli t\'a lebg yõod n na n manege y tʋʋmda. A Ladji Zida Aboubacar sɩd-naaba, kẽnga taoor n tõge kõt tond tagsgo rũnda arba wĩngnẽ yaa.
LJ7983|Tɩr l'homme n sẽn yɩɩda saaba, pãng sẽn tog yɩɩda taabã...
LJ7984|La rao ning n ka pãnga, tɩlma m pa waoogã, yẽn la a saad n gilgd mandẽ tɩ mam pagã zogdã yaa zogẽ wẽngẽ.
LJ7985|delete
LJ7986|Ratẽ yella m tɩ raoa meng yaa rao sẽn zems bala, pa tõe yell tɩ yaa ra fooll ye. La naoor wɩsgo lagemã foalã pʋga [a zemsa wã foo quoi?]. La kai sẽn yaa rao sẽn pidi.
LJ7987|Naab paama kʋʋnd Kigali, naab rɩk n wĩndg a naaba [ya sɩda]. Wɛgs tɩ m gese.
LJ7988|tɩ yaa Nag-reong manegd Naaba sãnem, Saidou Bikienga b sẽn mi tɩ yaa tip tɩɩm kãsengã Burkĩna Faso, yaa bãmb la hamb paam waoora kigali soolma sẽn tũ ne kũn-kãsenga, sẽn boond tɩ "super prix PADEV" b sẽn dɩk n taas-ba.
LJ7989|Tʋʋmd na taaga sɩbd na kelse n pʋg maan kaseto, a Ladji Soumaila raabo, n na lebg n dɩk tɩ d paam kaseta.
LJ7990|Bãmb gẽesame. Bãmb wõoname n wa yẽ maneg naab tʋʋm-neerã, n na n yaool n kos-b tɩ b wa Kigali n wa reg waoor kũunã woto. La bãmb me kõt b woto n wã b gãt ti ya Afrɩk...
LJ7991|La neb nins sẽn yãk yam n dɩk paang la b tõoga, n wa na yãag tʋʋmdã b fãa wĩnigdã b sũ-noogo, nem-bũmb ning b sẽn yã zĩiga pʋga.
LJ7992|La dɛɛg pʋʋse, Savane FM taoor soaba, Ladji Aboubacar sɩd-naaba, ne tʋntʋmd bã fãa gil-kɛpɩ.
LJ7993|Bon, d na n kellẽ yaalsã mẽ n pʋʋse ned ninga sãn sog la...
LJ7994|Tõndẽ yʋʋng a woto wã. Monsieur Bary Yacouba Jacob, neb ning n le teele b tõnd tʋʋmda me t\'a yõogma.
LJ7995|[eh...] goabg la rɩtgo, d pʋʋsd a fãn gilli. Rẽndẽ nẽb nins sẽn zĩnd-b-ka, tõnd pʋʋsd-d-b lame, hãn leb n ka tõog n zĩnd-b-ka yɛ-h, n tẽed tõnd yelle la b yɛ tõnd dãl la wakat fãa tõnd pʋʋsd-b lame. Tɩ d tɩndame tɩ nin dar sẽn wa te d kosgo, yaa tɩ sid bɩ zĩrẽ wã, emission wã, a feta d sã n naoog tẽeg-a.
LJ7996|Tɩ neba pidi tɩ maison du peuple tɩ leb n welg tɩ bemẽ yetẽ tɩ tʋʋmdã ket n doogda. Wẽnd na wĩnlig taba wẽnd na kõd nin-daare. La tingẽ wĩnlig...
LJ7997|Ya Desembrã kiuga sẽn watã n tõkd a yʋʋma yiib la woto ne.
LJ7998|Savane TV, antenne dãmba zugu. Tɩ nem-buiidã sɩd getẽ, tɩ wakat fãa, ned fãa paamda bũmb n ninga, n dɩk sõasga pʋga tɩ yaa nafa n kõt nem-buiidã zãnga.
LJ7999|delete

LJ8000|Wa b sẽn da pʋlem Kazadi show wã reemã sẽn wa n kut dãmbr Zãpɛɛr Gẽgane pʋgẽ wã, nedã pidsa a pʋlengo.
LJ8001|Yaa a Alasan Pɩtroapa, sẽn yaa maaf btp tʋʋm-noorã taoor soaba. Tɩ b ra wilgame t'a Kazadi bao a yam montɛɛre, tɩ b na n da n kõ-b lame, b sɩd maana rẽnde.
LJ8002|B rɩka montɛɛrã kʋlem bila n taas a Yakuba Zakaoob Baari nugẽ, a Laagi Bubakaar Sɩdnaab yʋʋr yĩnga tɩ b saglg a Kazadi nugẽ wã.
LJ8003|delete
LJ8004|Ayi wa, rẽnde a Kazadi paama a wed-paalle.
LJ8005|A sã n dag n yaa rʋko, bɩ fãrens naabã bãng tɩ rʋkã lebga rẽgdo.
LJ8006|Wilgame tɩ b kẽnga taoor la b tog n wilgame tɩ rʋkã tɩ y sã n tõdg n pa pɛka.
LJ8007|Y sã n sɛgle Elda, pa na n dɩ ye. Y sã n sɛgle sẽn be b ka wã pa na n dɩ ye.
LJ8008|Nin-sabls tẽnsã ned ba a ye pa na n le rɩ yãmb dʋkã rɩɩb ye. A sã n ket n be ne rẽgd-kãngã tɩ y sã n pa pɛk-a. Y sã n kɩɩs n sɛgle, bãng-y tɩ yaa yãmb ye tãa n na n zĩnd ne y rɩɩbã.
LJ8009|La m tẽedame tɩ tõog n vol y sag-võorã a na yɩ toog ne-yã. Yeelame tɩ.
LJ8010|Tɩ sõngrã wa sa. Rat n yet tɩ yãmb sẽn teenda soaba wa pa le rat teelgo.
LJ8011|Sã yaa sõngd maam tɩ mam ket n be tẽngr n bõosd foo wã, bas-y sõngr-kãng t'a sa.
LJ8012|Hɛlda goma wotoonẽ, Burkĩna faso biigã goma wotoonẽ, fãrens naabã, Amanuyel Makrõ taoore. La pa yɩ yẽ a yembr tɩ Mali bi-pugl yʋʋr sẽn boond t'a Adam Dɩko me wilga fãrens naabã...
LJ8013|So-daasa, tʋma tʋʋm beenẽ, la pa yɩ nana ye. Isa Mɛrmooz Sãafo. N-ge.
LJ8014|Yeelame tɩ lobsɛrvatɛɛr paalgã sebrã neng a naas zĩigẽ wilgame tɩ nin-zaalsã ne sodaasã teega taab yãado. La b yeelame tɩ yaa kɛgb poorẽ la Po n zũndg wotoonẽ wã.
LJ8015|delete
LJ8016|N zĩnd beenẽ tɩ sodaaga kell n modg wotoonẽ n na n bao wa pagã.
LJ8017|Kɩtame tɩ pa ta b raab ye. Tɩ bãmb me na n yãk sɩbgr bilfu n taas sodaagã.
LJ8018|Sodaagã n na n maan n le be, sodaagã kẽngame n tɩg n kãag a soda-taase, aha tɩ b na n wa kẽ sɛktɛɛr sɩɩs sẽn yaa paga sɩdã sakã marsã n dãmb sak fãa gill kɛpi.
LJ8019|B n dãng sakã woto sakã wotoonẽ tɩ ya pãb n gilga, yel-wẽnda por-kɩrɛɛra wo, zãndarem-dãmba wo, polɩɩsdãmb fãa be b sak-kãngã pʋgẽ fãa. Ned ba a ye n põsa wɩɩsgã ka be ye.
LJ8020|La pagã sɩda menga b yeelame t'a na bee koma pʋga, n na n gãe, n bẽed n nanda, la kotame tɩ tõe tɩ ka ne bilf bi wẽnnaam sõng tɩ bãmb paam n vʋʋge.
LJ8021|Tɩ wakata paam n kẽ n bõogame. Sã n ya yãmb daabo, bi d maan woto.
LJ8022|Ayi wa, d na n lebg babsa Po ne Isa Mɛrmooz Sãafo. D na n kẽnga Po tɩ b sɩd yeelame tɩ ya pag yelle la sẽn wa ne zu-loees wotoonẽ tɩ sodaasã na kẽ sã ya ne nin-zaalsã. Byeelame tɩ sodaagã yellã sɩngame wala yãmb sẽn ne to-to wã.
LJ8023|B yeelame tɩ yaa bũmb ninga n kɩt tɩ sũ-puudã n zĩndi yaa sodaasã a ne nin-zaalsã sʋka yaa pag poore. B yeelame tɩ sodaagã roog pagã.
LJ8024|La pagã me ra yasame, n gũuda sɩdã, a sɩdã butika sɛɛga, tɩ b na n wat tɩ b tɩg n te maan a rogem-tẽegr b sẽn boond tɩ anivɛsɛɛrã.
LJ8025|A ra bee zĩiga pʋgẽ beenẽ, la a sɩdbi me yikame n na n yeele, tɩ bãmb pa sak ne sodaagã n wa n modgr pagã dat n do ne tɩlae ye. 
LJ8026|Tɩ b na n wilg sodaagã bala t'a bãng n sa tɩ pagã tara sɩda la pagã kẽ yikãadem.
LJ8027|La b yeelame tɩ yãoonde, a yaa bũmb sẽn pa zems ye. Sobg a sobg zulunga. Dõng yellã, a yaa bũmb sẽn pa zems ye, kɩtame tɩ karen-biisa meng sẽn be Po wã yiime, n da gɩd sorã wotoonẽ ne teedo n wilg b sũ-sãamse. Tɩ nin-buiida me yi n wilg b sũ-sãamse, n kotẽ tɩ bãmb datame tɩ sodaasã tɩ b afɛkt-b fãa gill kɛpi n yiis bãmb tẽngã.
LJ8028|La Eta mazaoorã yiisa koɛɛga, n kell n sãbs yell ninga sẽn maana Po wã. La b wilg bal tɩ bãmb na n dɩka sore n na yɩlẽ n kɩte.
LJ8029|B n yi Kigali n yaa Roanda soolmẽ wã n lebge, rasem piig la a nu la wotoonẽ.
LJ8030|B rɩka b waoor kũunã b n paama Rwanda soolmẽ wã tɩ b boond tɩ prix padɛɛvã.
LJ8031|Tɩ tẽngã taoor soab pẽg-ba, la b kell n kos-ba, b kell n modge ne nin-buiidã sõngre.
LJ8032|A ye woto la d wa n pʋʋs-ba n bãng b laafɩ la d wilg waoor ning n wa n tog n kõ-a tɩ ya Burkĩna Faso gill fãa kɛpi waoore.
LJ8033|Bãmb pʋʋsa wẽnnaam barka la b kot wẽnnaam tɩ woto buud leb n yɩlme Burkĩna Faso. Tõnd sẽn kot wẽnnaam ya wẽnd na wa ne sugr sa-koom t'a ni sõmbo tɩ sugr kẽ tẽnga tɩ tẽngã gãand laafɩ tɩ d vʋɩɩmã yɩ d noogo.
LJ8034|Roanda soolmẽ wã, bãmb ne Burkĩna Faso tʋʋm-noor taoor dãmba, komin taoor dãmba, sull taoor dãmba n paam waoor kũunã. B n yi Kigali n lebg n wa, b kẽnga moog naab simandẽ wã n tɩ wilg b kũunã
LJ8035|delete
LJ8036|delete
LJ8037|delete
LJ8038|A tara tẽeb tɩ yẽ sẽn deeg a pʋg-paalã, ka la ka pʋg-paalã na n dog a koamba, koamba na n wa zãa yẽnda. A tara tẽeb ne yɛl wʋsg buud toor-toor sẽn kɩtde
LJ8039|N yaool n pa namsd talsã, wɩsg n tɩ yɩɩda. Rabeem kʋʋda ra-kãagre, rabeem-kãng pa be nanga rãmb nengẽ. Rabeem...
LJ8040|Rẽnda a tʋg n manas tɩ pa rẽ, rabeemd n kaooga a pʋga woto wã. Rabeemd-kãngã t'a hãng kẽng taoore
LJ8041|Neb nins sẽn be nanga pʋgẽ wã.
LJ8042|Sãan n wa tʋg n ta, parsellã zabrã zĩigẽ, kẽer rɩk b ba-rãmb pʋto n pas n koose tɩ nebã ra, tɩ pa sek tɩ b lebg n le kẽng bãmb n koosẽ wã n le tɩ rɩk n le koos yasa.
LJ8043|Tɩ ninsaal soolmã yaool n pa yɩɩd deux metr kaare, tẽn-gãongã zugu.
LJ8044|Tɩ b bas rẽ fãa gilli, la b rɩk tẽn-gãongã n sãoog wẽnnaam arzẽna.
LJ8045|Tɩ Alagi Zɩda Abubakaar Sɩdnaaba tẽegd tõnd.
LJ8046|Tɩd ningd yamẽ tɩ arzẽna n be be.
LJ8047|Sɩ yaa wẽnnaam sẽn pʋlma soabã, tɩ bũmb fãa gill be a pʋgẽ sẽn tar yõod ne ninsaala, a vɩɩmã beoog-daare rat n yet tɩ alkɩyaoom.
LJ8048|Sã n pa rẽ, Wẽnnaam naana kɩɩsd tɩ yaa sʋɩtãan n tõe wa ninga b zutẽ wã.
LJ8049|Tɩ d wa tʋg n te gad bũmb ninga sẽn na n zãag-d ne d beoog-arzẽna.
LJ8050|Zak-soaba! Ra y sig-y ye! Kõfo Kĩng n yõgenda wã saame. Rũms na sa ne-d yʋnga.
LJ8051|delete
LJ8052|delete
LJ8053|Zags-bãmb fãa rũmsã kii bal tẽma. Pa sɩd ye. Maam n yeel foogo. A ligd pa toog ye. A yũug yaa noogo.	
LJ8054|delete	
LJ8055|Tõe kõ-a la yʋʋr a yembre, n boond tɩ soa-soaaga. Yãmb n maand tõnd tɩ pa tõnd n bõosa?	
LJ8056|delete
LJ8057|eh buuda fãa gill kɛpɩ na n sega taab Yaooko, tɩ b lagem taab n kos wẽnnaam nin-kẽem-sõngã yĩnga. Yʋʋm fãa yaa woto la b maanda. M tagdame tɩ beooga me ket n yaa botoone la b gãneg-yã tɩ tɩ tʋʋmdã na n tʋme. Wẽnnaam sakr loogr poore, d fãa segda taab beenẽ.
